year,Tm,Attendance,Attend/G,organization
1999,STL,3225334,40317,mlb
1999,TBD,1562827,19294,mlb
1999,TEX,2771469,34216,mlb
1999,TOR,2163464,26709,mlb
1998,ANA,2519280,31102,mlb
1998,ARI,3610290,44571,mlb
1998,ATL,3360860,41492,mlb
1998,BAL,3684650,45490,mlb
1998,BOS,2314704,28577,mlb
1998,CHC,2623194,31990,mlb
1998,CHW,1391146,16965,mlb
1998,CIN,1793649,22144,mlb
1998,CLE,3467299,42806,mlb
1998,COL,3792683,46823,mlb
1998,DET,1409391,17400,mlb
1998,FLA,1730384,21363,mlb
1998,HOU,2458451,30351,mlb
1998,KCR,1494875,18686,mlb
1998,LAD,3089222,38139,mlb
1998,MIL,1811593,22365,mlb
1998,MIN,1165976,14395,mlb
1998,MON,914909,11295,mlb
1998,NYM,2287948,28246,mlb
1998,NYY,2955193,36484,mlb
1998,OAK,1232343,15214,mlb
1998,PHI,1715722,21182,mlb
1998,PIT,1560950,19271,mlb
1998,SDP,2555874,31554,mlb
1998,SEA,2651511,32735,mlb
1998,SFG,1925364,23770,mlb
1998,STL,3195691,38972,mlb
1998,TBD,2506293,30942,mlb
1998,TEX,2927399,36141,mlb
1998,TOR,2454303,30300,mlb
