year,Tm,Attendance,Attend/G,Est. Payroll
1998,ANA,2519280,31102,41791000
1998,ARI,3610290,44571,32347000
1998,ATL,3360860,41492,61186000
1998,BAL,3684650,45490,72525634
1998,BOS,2314704,28577,56927000
1998,CHC,2623194,31990,50838000
1998,CHW,1391146,16965,39850000
1998,CIN,1793649,22144,23005000
1998,CLE,3467299,42806,61718166
1998,COL,3792683,46823,50484648
1998,DET,1409391,17400,24265000
1998,FLA,1730384,21363,41864667
1998,HOU,2458451,30351,42374000
1998,KCR,1494875,18686,38097500
1998,LAD,3089222,38139,48820000
1998,MIL,1811593,22365,34139904
1998,MIN,1165976,14395,28097500
1998,MON,914909,11295,10641500
1998,NYM,2287948,28246,52247999
1998,NYY,2955193,36484,66806867
1998,OAK,1232343,15214,21473000
1998,PHI,1715722,21182,36297500
1998,PIT,1560950,19271,15065000
1998,SDP,2555874,31554,46861500
1998,SEA,2651511,32735,54802036
1998,SFG,1925364,23770,42738334
1998,STL,3195691,38972,54672521
1998,TBD,2506293,30942,27280000
1998,TEX,2927399,36141,56752095
1998,TOR,2454303,30300,51376000
